optimizer,success_rate,reduction_median,reduction_mean,retention_mean,retention_min,latency_p90,junk_kept_rate_median,intent_preservation_rate,confidence_mean,total_runs
pattern,1.0,0.5977498869289914,0.5894385900395395,0.05,0.0,16.78009003517218,0.0,1.0,,120
entropy,1.0,0.8028683047188239,0.797902913916538,0.025,0.0,21.249429986346513,0.0,0.825,0.17543749999999997,120
