optimizer,success_rate,reduction_median,reduction_mean,retention_mean,retention_min,latency_p90,junk_kept_rate_median,intent_preservation_rate,confidence_mean,total_runs
pattern,1.0,0.5977498869289914,0.5894385900395395,0.05,0.0,16.980839986354113,0.0,1.0,,120
entropy,1.0,0.5977498869289914,0.5894385900395395,0.05,0.0,16.687079990515485,0.0,1.0,,120
